loss,f1,acc,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8227323958506951,0.3333333333333333,0.5,1731328046,checkpoint_000000,True,False,1,689c8_00000,2024-11-11_20-27-26,1238.3898396492004,1238.3898396492004,1076207,xgpi5,192.168.51.167,1238.3898396492004,1
0.8227238020358177,0.3333333333333333,0.5,1731329300,checkpoint_000001,True,False,2,689c8_00000,2024-11-11_20-48-21,1254.8688900470734,2493.258729696274,1076207,xgpi5,192.168.51.167,2493.258729696274,2
0.7875383514910936,0.46404052334334217,0.5254854368932039,1731330565,checkpoint_000002,True,False,3,689c8_00000,2024-11-11_21-09-25,1264.225938796997,3757.484668493271,1076207,xgpi5,192.168.51.167,3757.484668493271,3
0.7786189963181431,0.526138916344685,0.5339805825242718,1731331823,checkpoint_000003,True,False,4,689c8_00000,2024-11-11_21-30-24,1258.583122253418,5016.067790746689,1076207,xgpi5,192.168.51.167,5016.067790746689,4
0.834806527942419,0.45010135029781395,0.48058252427184467,1731333085,checkpoint_000004,True,False,5,689c8_00000,2024-11-11_21-51-26,1261.881276845932,6277.949067592621,1076207,xgpi5,192.168.51.167,6277.949067592621,5
0.7786164511568271,0.45913503971756403,0.5351941747572816,1731334333,checkpoint_000005,True,False,6,689c8_00000,2024-11-11_22-12-14,1247.9751160144806,7525.924183607101,1076207,xgpi5,192.168.51.167,7525.924183607101,6
0.7578706919717101,0.5196942188246536,0.5558252427184466,1731335599,checkpoint_000006,True,False,7,689c8_00000,2024-11-11_22-33-20,1266.5929462909698,8792.517129898071,1076207,xgpi5,192.168.51.167,8792.517129898071,7
0.7829984195816976,0.45197284537716675,0.5315533980582524,1731336871,checkpoint_000007,True,False,8,689c8_00000,2024-11-11_22-54-33,1272.1070091724396,10064.62413907051,1076207,xgpi5,192.168.51.167,10064.62413907051,8
0.8239460452817954,0.49452347083926024,0.4975728155339806,1731338128,checkpoint_000008,True,False,9,689c8_00000,2024-11-11_23-15-30,1257.4561002254486,11322.08023929596,1076207,xgpi5,192.168.51.167,11322.08023929596,9
0.8383652522013738,0.4654423873446779,0.47936893203883496,1731339394,checkpoint_000009,True,True,10,689c8_00000,2024-11-11_23-36-35,1265.2446217536926,12587.324861049652,1076207,xgpi5,192.168.51.167,12587.324861049652,10
